国名,訪日外客数,年月日
メキシコ,6903.0,2018/10/01
モンゴル,2354.0,2018/10/01
ヨーロッパ計,193044.0,2018/10/01
ロシア,10778.0,2018/10/01
中国,715255.0,2018/10/01
北アメリカ計,186183.0,2018/10/01
南アメリカ計,10538.0,2018/10/01
台湾,379633.0,2018/10/01
無国籍・その他,61.0,2018/10/01
米国,143977.0,2018/10/01
英国,36850.0,2018/10/01
豪州,47444.0,2018/10/01
韓国,571176.0,2018/10/01
香港,169473.0,2018/10/01
その他アジア,16384.0,2018/11/01
その他オセアニア,425.0,2018/11/01
その他ヨーロッパ,9613.0,2018/11/01
その他北アメリカ,1233.0,2018/11/01
その他南アメリカ,3804.0,2018/11/01
アイルランド,1658.0,2018/11/01
アフリカ計,3399.0,2018/11/01
イスラエル,3447.0,2018/11/01
イタリア,11621.0,2018/11/01
インド,13265.0,2018/11/01
インドネシア,32110.0,2018/11/01
オセアニア計,45580.0,2018/11/01
オランダ,5809.0,2018/11/01
オーストリア,1923.0,2018/11/01
カナダ,27638.0,2018/11/01
シンガポール,54274.0,2018/11/01
スイス,3552.0,2018/11/01
スウェーデン,4372.0,2018/11/01
スペイン,8842.0,2018/11/01
タイ,102911.0,2018/11/01
デンマーク,2121.0,2018/11/01
トルコ,1480.0,2018/11/01
ドイツ,18544.0,2018/11/01
ニュージーランド,5315.0,2018/11/01
ノルウェー,1553.0,2018/11/01
フィリピン,46965.0,2018/11/01
フィンランド,2091.0,2018/11/01
フランス,22058.0,2018/11/01
ブラジル,3308.0,2018/11/01
ベトナム,33986.0,2018/11/01
ベルギー,2729.0,2018/11/01
ポルトガル,2477.0,2018/11/01
ポーランド,2953.0,2018/11/01
マカオ,7287.0,2018/11/01
マレーシア,55519.0,2018/11/01
メキシコ,5313.0,2018/11/01
モンゴル,2626.0,2018/11/01
ヨーロッパ計,138605.0,2018/11/01
ロシア,9272.0,2018/11/01
中国,617252.0,2018/11/01
北アメリカ計,161190.0,2018/11/01
南アメリカ計,7112.0,2018/11/01
台湾,351905.0,2018/11/01
無国籍・その他,57.0,2018/11/01
米国,127006.0,2018/11/01
英国,27417.0,2018/11/01
豪州,39840.0,2018/11/01
韓国,588213.0,2018/11/01
香港,167184.0,2018/11/01
その他アジア,15399.0,2018/12/01
その他オセアニア,313.0,2018/12/01
その他ヨーロッパ,5679.0,2018/12/01
その他北アメリカ,1090.0,2018/12/01
その他南アメリカ,3571.0,2018/12/01
アイルランド,1295.0,2018/12/01
アフリカ計,2813.0,2018/12/01
イスラエル,1196.0,2018/12/01
イタリア,8942.0,2018/12/01
インド,10272.0,2018/12/01
インドネシア,53966.0,2018/12/01
オセアニア計,71511.0,2018/12/01
オランダ,4186.0,2018/12/01
オーストリア,1281.0,2018/12/01
カナダ,28132.0,2018/12/01
シンガポール,87083.0,2018/12/01
スイス,2866.0,2018/12/01
スウェーデン,3699.0,2018/12/01
スペイン,5990.0,2018/12/01
タイ,128304.0,2018/12/01
デンマーク,1455.0,2018/12/01
トルコ,1116.0,2018/12/01
ドイツ,12466.0,2018/12/01
ニュージーランド,7590.0,2018/12/01
ノルウェー,1284.0,2018/12/01
フィリピン,55666.0,2018/12/01
フィンランド,1973.0,2018/12/01
フランス,17728.0,2018/12/01
ブラジル,3454.0,2018/12/01
ベトナム,24356.0,2018/12/01
ベルギー,1675.0,2018/12/01
ポルトガル,2433.0,2018/12/01
ポーランド,1335.0,2018/12/01
マカオ,12327.0,2018/12/01
マレーシア,67627.0,2018/12/01
メキシコ,5166.0,2018/12/01
モンゴル,2460.0,2018/12/01
ヨーロッパ計,103468.0,2018/12/01
ロシア,6293.0,2018/12/01
中国,599086.0,2018/12/01
北アメリカ計,161238.0,2018/12/01
南アメリカ計,7025.0,2018/12/01
台湾,335790.0,2018/12/01
無国籍・その他,53.0,2018/12/01
米国,126850.0,2018/12/01
英国,22888.0,2018/12/01
豪州,63608.0,2018/12/01
韓国,681566.0,2018/12/01
香港,209454.0,2018/12/01
その他アジア,10635.0,2018/2/01
その他オセアニア,240.0,2018/2/01
その他ヨーロッパ,4861.0,2018/2/01
その他北アメリカ,783.0,2018/2/01
その他南アメリカ,4955.0,2018/2/01
アイルランド,1294.0,2018/2/01
アフリカ計,2160.0,2018/2/01
イスラエル,1003.0,2018/2/01
イタリア,5942.0,2018/2/01
インド,7869.0,2018/2/01
インドネシア,21103.0,2018/2/01
オセアニア計,50474.0,2018/2/01
オランダ,3624.0,2018/2/01
オーストリア,1354.0,2018/2/01
カナダ,20843.0,2018/2/01
シンガポール,23496.0,2018/2/01
スイス,2615.0,2018/2/01
スウェーデン,3467.0,2018/2/01
スペイン,4173.0,2018/2/01
タイ,82017.0,2018/2/01
デンマーク,1581.0,2018/2/01
トルコ,988.0,2018/2/01
ドイツ,13204.0,2018/2/01
ニュージーランド,5068.0,2018/2/01
ノルウェー,1610.0,2018/2/01
フィリピン,27499.0,2018/2/01
フィンランド,1783.0,2018/2/01
フランス,16252.0,2018/2/01
ブラジル,2224.0,2018/2/01
ベトナム,23366.0,2018/2/01
ベルギー,1699.0,2018/2/01
ポルトガル,1528.0,2018/2/01
ポーランド,1625.0,2018/2/01
マカオ,8194.0,2018/2/01
マレーシア,35319.0,2018/2/01
メキシコ,3242.0,2018/2/01
モンゴル,1733.0,2018/2/01
ヨーロッパ計,95441.0,2018/2/01
ロシア,4937.0,2018/2/01
中国,716333.0,2018/2/01
北アメリカ計,106792.0,2018/2/01
南アメリカ計,7179.0,2018/2/01
台湾,400858.0,2018/2/01
無国籍・その他,38.0,2018/2/01
米国,81924.0,2018/2/01
英国,23892.0,2018/2/01
豪州,45166.0,2018/2/01
韓国,708318.0,2018/2/01
香港,178482.0,2018/2/01
その他アジア,18445.0,2018/3/01
その他オセアニア,346.0,2018/3/01
その他ヨーロッパ,10295.0,2018/3/01
その他北アメリカ,1432.0,2018/3/01
その他南アメリカ,6814.0,2018/3/01
アイルランド,2178.0,2018/3/01
アフリカ計,3299.0,2018/3/01
イスラエル,6013.0,2018/3/01
イタリア,13244.0,2018/3/01
インド,13832.0,2018/3/01
インドネシア,32428.0,2018/3/01
オセアニア計,53460.0,2018/3/01
オランダ,5612.0,2018/3/01
オーストリア,2326.0,2018/3/01
カナダ,34886.0,2018/3/01
シンガポール,38089.0,2018/3/01
スイス,5627.0,2018/3/01
スウェーデン,6290.0,2018/3/01
スペイン,11524.0,2018/3/01
タイ,116213.0,2018/3/01
デンマーク,3814.0,2018/3/01
トルコ,2127.0,2018/3/01
ドイツ,24923.0,2018/3/01
ニュージーランド,5642.0,2018/3/01
ノルウェー,3545.0,2018/3/01
フィリピン,56103.0,2018/3/01
フィンランド,2662.0,2018/3/01
フランス,25332.0,2018/3/01
ブラジル,4445.0,2018/3/01
ベトナム,35235.0,2018/3/01
ベルギー,3158.0,2018/3/01
ポルトガル,2453.0,2018/3/01
ポーランド,3321.0,2018/3/01
マカオ,7417.0,2018/3/01
マレーシア,47652.0,2018/3/01
メキシコ,7982.0,2018/3/01
モンゴル,2322.0,2018/3/01
ヨーロッパ計,171618.0,2018/3/01
ロシア,8916.0,2018/3/01
中国,594920.0,2018/3/01
北アメリカ計,195264.0,2018/3/01
南アメリカ計,11259.0,2018/3/01
台湾,387338.0,2018/3/01
無国籍・その他,75.0,2018/3/01
米国,150964.0,2018/3/01
英国,36398.0,2018/3/01
豪州,47472.0,2018/3/01
韓国,619196.0,2018/3/01
香港,195651.0,2018/3/01
その他アジア,29327.0,2018/4/01
その他オセアニア,368.0,2018/4/01
その他ヨーロッパ,13755.0,2018/4/01
その他北アメリカ,1275.0,2018/4/01
その他南アメリカ,6662.0,2018/4/01
アイルランド,1889.0,2018/4/01
アフリカ計,3774.0,2018/4/01
イスラエル,6822.0,2018/4/01
イタリア,17762.0,2018/4/01
インド,17713.0,2018/4/01
インドネシア,43103.0,2018/4/01
オセアニア計,65496.0,2018/4/01
オランダ,8789.0,2018/4/01
オーストリア,2295.0,2018/4/01
カナダ,34255.0,2018/4/01
シンガポール,37605.0,2018/4/01
スイス,6454.0,2018/4/01
スウェーデン,6155.0,2018/4/01
スペイン,9207.0,2018/4/01
タイ,148647.0,2018/4/01
デンマーク,2785.0,2018/4/01
トルコ,2691.0,2018/4/01
ドイツ,22112.0,2018/4/01
ニュージーランド,7696.0,2018/4/01
ノルウェー,1834.0,2018/4/01
フィリピン,63893.0,2018/4/01
フィンランド,2868.0,2018/4/01
フランス,44047.0,2018/4/01
ブラジル,5184.0,2018/4/01
ベトナム,50299.0,2018/4/01
ベルギー,4209.0,2018/4/01
ポルトガル,2464.0,2018/4/01
ポーランド,5500.0,2018/4/01
マカオ,7454.0,2018/4/01
マレーシア,49212.0,2018/4/01
メキシコ,5287.0,2018/4/01
モンゴル,2363.0,2018/4/01
ヨーロッパ計,200685.0,2018/4/01
ロシア,12375.0,2018/4/01
中国,683377.0,2018/4/01
北アメリカ計,187845.0,2018/4/01
南アメリカ計,11846.0,2018/4/01
台湾,470042.0,2018/4/01
無国籍・その他,71.0,2018/4/01
米国,147028.0,2018/4/01
英国,36185.0,2018/4/01
豪州,57432.0,2018/4/01
韓国,638523.0,2018/4/01
香港,179930.0,2018/4/01
その他アジア,14462.0,2018/5/01
その他オセアニア,399.0,2018/5/01
その他ヨーロッパ,10027.0,2018/5/01
その他北アメリカ,1087.0,2018/5/01
その他南アメリカ,5695.0,2018/5/01
アイルランド,1937.0,2018/5/01
アフリカ計,2707.0,2018/5/01
イスラエル,2757.0,2018/5/01
イタリア,12182.0,2018/5/01
インド,17271.0,2018/5/01
インドネシア,31460.0,2018/5/01
オセアニア計,45627.0,2018/5/01
オランダ,6934.0,2018/5/01
オーストリア,2339.0,2018/5/01
カナダ,31417.0,2018/5/01
シンガポール,39385.0,2018/5/01
スイス,4755.0,2018/5/01
スウェーデン,4247.0,2018/5/01
スペイン,9303.0,2018/5/01
タイ,103554.0,2018/5/01
デンマーク,2003.0,2018/5/01
トルコ,1646.0,2018/5/01
ドイツ,20364.0,2018/5/01
ニュージーランド,5665.0,2018/5/01
ノルウェー,1475.0,2018/5/01
フィリピン,59016.0,2018/5/01
フィンランド,2553.0,2018/5/01
フランス,29583.0,2018/5/01
ブラジル,4067.0,2018/5/01
ベトナム,28172.0,2018/5/01
ベルギー,2976.0,2018/5/01
ポルトガル,2118.0,2018/5/01
ポーランド,3727.0,2018/5/01
マカオ,8084.0,2018/5/01
マレーシア,36420.0,2018/5/01
メキシコ,5763.0,2018/5/01
モンゴル,2091.0,2018/5/01
ヨーロッパ計,154283.0,2018/5/01
ロシア,7450.0,2018/5/01
中国,668600.0,2018/5/01
北アメリカ計,178730.0,2018/5/01
南アメリカ計,9762.0,2018/5/01
台湾,440109.0,2018/5/01
無国籍・その他,56.0,2018/5/01
米国,140463.0,2018/5/01
英国,30310.0,2018/5/01
豪州,39563.0,2018/5/01
韓国,640355.0,2018/5/01
香港,190505.0,2018/5/01
その他アジア,12525.0,2018/6/01
その他オセアニア,466.0,2018/6/01
その他ヨーロッパ,7848.0,2018/6/01
その他北アメリカ,1080.0,2018/6/01
その他南アメリカ,4110.0,2018/6/01
アイルランド,1725.0,2018/6/01
アフリカ計,2845.0,2018/6/01
イスラエル,1538.0,2018/6/01
イタリア,11044.0,2018/6/01
インド,12485.0,2018/6/01
インドネシア,56157.0,2018/6/01
オセアニア計,41388.0,2018/6/01
オランダ,4481.0,2018/6/01
オーストリア,1602.0,2018/6/01
カナダ,23914.0,2018/6/01
シンガポール,39975.0,2018/6/01
スイス,3062.0,2018/6/01
スウェーデン,5376.0,2018/6/01
スペイン,8288.0,2018/6/01
タイ,73642.0,2018/6/01
デンマーク,1885.0,2018/6/01
トルコ,1566.0,2018/6/01
ドイツ,14421.0,2018/6/01
ニュージーランド,5140.0,2018/6/01
ノルウェー,2237.0,2018/6/01
フィリピン,37354.0,2018/6/01
フィンランド,2679.0,2018/6/01
フランス,19381.0,2018/6/01
ブラジル,2806.0,2018/6/01
ベトナム,29476.0,2018/6/01
ベルギー,2122.0,2018/6/01
ポルトガル,1807.0,2018/6/01
ポーランド,2488.0,2018/6/01
マカオ,8304.0,2018/6/01
マレーシア,36462.0,2018/6/01
メキシコ,5610.0,2018/6/01
モンゴル,1994.0,2018/6/01
ヨーロッパ計,120044.0,2018/6/01
ロシア,7048.0,2018/6/01
中国,760949.0,2018/6/01
北アメリカ計,192340.0,2018/6/01
南アメリカ計,6916.0,2018/6/01
台湾,456895.0,2018/6/01
無国籍・その他,65.0,2018/6/01
米国,161736.0,2018/6/01
英国,22550.0,2018/6/01
豪州,35782.0,2018/6/01
韓国,606162.0,2018/6/01
香港,205549.0,2018/6/01
その他アジア,15307.0,2018/7/01
その他オセアニア,493.0,2018/7/01
その他ヨーロッパ,8868.0,2018/7/01
その他北アメリカ,1129.0,2018/7/01
その他南アメリカ,4738.0,2018/7/01
アイルランド,1781.0,2018/7/01
アフリカ計,3436.0,2018/7/01
イスラエル,2182.0,2018/7/01
イタリア,13540.0,2018/7/01
インド,12429.0,2018/7/01
インドネシア,26495.0,2018/7/01
オセアニア計,39879.0,2018/7/01
オランダ,9130.0,2018/7/01
オーストリア,2537.0,2018/7/01
カナダ,27252.0,2018/7/01
シンガポール,21383.0,2018/7/01
スイス,6689.0,2018/7/01
スウェーデン,4377.0,2018/7/01
スペイン,13486.0,2018/7/01
タイ,74402.0,2018/7/01
デンマーク,4304.0,2018/7/01
トルコ,1809.0,2018/7/01
ドイツ,17160.0,2018/7/01
ニュージーランド,5523.0,2018/7/01
ノルウェー,2970.0,2018/7/01
フィリピン,28965.0,2018/7/01
フィンランド,2058.0,2018/7/01
フランス,33255.0,2018/7/01
ブラジル,4448.0,2018/7/01
ベトナム,33492.0,2018/7/01
ベルギー,4832.0,2018/7/01
ポルトガル,2448.0,2018/7/01
ポーランド,2739.0,2018/7/01
マカオ,14645.0,2018/7/01
マレーシア,23088.0,2018/7/01
メキシコ,9186.0,2018/7/01
モンゴル,2277.0,2018/7/01
ヨーロッパ計,164450.0,2018/7/01
ロシア,7768.0,2018/7/01
中国,879097.0,2018/7/01
北アメリカ計,184283.0,2018/7/01
南アメリカ計,9186.0,2018/7/01
台湾,460473.0,2018/7/01
無国籍・その他,54.0,2018/7/01
米国,146716.0,2018/7/01
英国,26508.0,2018/7/01
豪州,33863.0,2018/7/01
韓国,607953.0,2018/7/01
香港,226755.0,2018/7/01
その他アジア,15017.0,2018/8/01
その他オセアニア,490.0,2018/8/01
その他ヨーロッパ,7943.0,2018/8/01
その他北アメリカ,1065.0,2018/8/01
その他南アメリカ,3723.0,2018/8/01
アイルランド,1424.0,2018/8/01
アフリカ計,3076.0,2018/8/01
イスラエル,2311.0,2018/8/01
イタリア,22055.0,2018/8/01
インド,10509.0,2018/8/01
インドネシア,17470.0,2018/8/01
オセアニア計,28413.0,2018/8/01
オランダ,5471.0,2018/8/01
オーストリア,2022.0,2018/8/01
カナダ,24951.0,2018/8/01
シンガポール,16332.0,2018/8/01
スイス,3346.0,2018/8/01
スウェーデン,2633.0,2018/8/01
スペイン,19265.0,2018/8/01
タイ,47507.0,2018/8/01
デンマーク,1551.0,2018/8/01
トルコ,2011.0,2018/8/01
ドイツ,16206.0,2018/8/01
ニュージーランド,4194.0,2018/8/01
ノルウェー,1038.0,2018/8/01
フィリピン,24714.0,2018/8/01
フィンランド,1398.0,2018/8/01
フランス,28195.0,2018/8/01
ブラジル,2654.0,2018/8/01
ベトナム,34229.0,2018/8/01
ベルギー,2502.0,2018/8/01
ポルトガル,2589.0,2018/8/01
ポーランド,2573.0,2018/8/01
マカオ,15842.0,2018/8/01
マレーシア,20143.0,2018/8/01
メキシコ,4759.0,2018/8/01
モンゴル,2323.0,2018/8/01
ヨーロッパ計,151104.0,2018/8/01
ロシア,6729.0,2018/8/01
中国,860121.0,2018/8/01
北アメリカ計,133867.0,2018/8/01
南アメリカ計,6377.0,2018/8/01
台湾,394551.0,2018/8/01
無国籍・その他,36.0,2018/8/01
米国,103092.0,2018/8/01
英国,24164.0,2018/8/01
豪州,23729.0,2018/8/01
韓国,593941.0,2018/8/01
香港,198127.0,2018/8/01
その他アジア,16612.0,2018/9/01
その他オセアニア,420.0,2018/9/01
その他ヨーロッパ,9214.0,2018/9/01
その他北アメリカ,1389.0,2018/9/01
その他南アメリカ,5257.0,2018/9/01
アイルランド,1775.0,2018/9/01
アフリカ計,3833.0,2018/9/01
イスラエル,7091.0,2018/9/01
イタリア,12273.0,2018/9/01
インド,13310.0,2018/9/01
インドネシア,24437.0,2018/9/01
オセアニア計,56012.0,2018/9/01
オランダ,6432.0,2018/9/01
オーストリア,2268.0,2018/9/01
カナダ,23100.0,2018/9/01
シンガポール,23366.0,2018/9/01
スイス,4331.0,2018/9/01
スウェーデン,3715.0,2018/9/01
スペイン,10566.0,2018/9/01
タイ,54422.0,2018/9/01
デンマーク,2218.0,2018/9/01
トルコ,1356.0,2018/9/01
ドイツ,20006.0,2018/9/01
ニュージーランド,6975.0,2018/9/01
ノルウェー,1663.0,2018/9/01
フィリピン,24779.0,2018/9/01
フィンランド,1976.0,2018/9/01
フランス,20143.0,2018/9/01
ブラジル,3524.0,2018/9/01
ベトナム,29270.0,2018/9/01
ベルギー,2982.0,2018/9/01
ポルトガル,2085.0,2018/9/01
ポーランド,3038.0,2018/9/01
マカオ,5241.0,2018/9/01
マレーシア,26667.0,2018/9/01
メキシコ,5619.0,2018/9/01
モンゴル,2695.0,2018/9/01
ヨーロッパ計,139144.0,2018/9/01
ロシア,7555.0,2018/9/01
中国,652740.0,2018/9/01
北アメリカ計,134745.0,2018/9/01
南アメリカ計,8781.0,2018/9/01
台湾,329142.0,2018/9/01
無国籍・その他,45.0,2018/9/01
米国,104637.0,2018/9/01
英国,26904.0,2018/9/01
豪州,48617.0,2018/9/01
韓国,479733.0,2018/9/01
香港,126174.0,2018/9/01
その他アジア,13380.0,2017/1/01
その他オセアニア,386.0,2017/1/01
その他ヨーロッパ,5615.0,2017/1/01
その他北アメリカ,1062.0,2017/1/01
その他南アメリカ,3251.0,2017/1/01
アイルランド,1249.0,2017/1/01
アフリカ計,2358.0,2017/1/01
イスラエル,867.0,2017/1/01
イタリア,5569.0,2017/1/01
インド,10105.0,2017/1/01
インドネシア,22539.0,2017/1/01
オセアニア計,67494.0,2017/1/01
オランダ,3068.0,2017/1/01
オーストリア,1120.0,2017/1/01
カナダ,22583.0,2017/1/01
シンガポール,20415.0,2017/1/01
スイス,2335.0,2017/1/01
スウェーデン,3864.0,2017/1/01
スペイン,3667.0,2017/1/01
タイ,65176.0,2017/1/01
デンマーク,1517.0,2017/1/01
トルコ,1163.0,2017/1/01
ドイツ,10256.0,2017/1/01
ニュージーランド,6001.0,2017/1/01
ノルウェー,1536.0,2017/1/01
フィリピン,26386.0,2017/1/01
フィンランド,1937.0,2017/1/01
フランス,14374.0,2017/1/01
ブラジル,2665.0,2017/1/01
ベトナム,21621.0,2017/1/01
ベルギー,1414.0,2017/1/01
ポルトガル,1440.0,2017/1/01
ポーランド,1244.0,2017/1/01
マカオ,9352.0,2017/1/01
マレーシア,34513.0,2017/1/01
メキシコ,2827.0,2017/1/01
モンゴル,2046.0,2017/1/01
ヨーロッパ計,85336.0,2017/1/01
ロシア,4320.0,2017/1/01
中国,630570.0,2017/1/01
北アメリカ計,114655.0,2017/1/01
南アメリカ計,5916.0,2017/1/01
台湾,350765.0,2017/1/01
無国籍・その他,110.0,2017/1/01
米国,88183.0,2017/1/01
英国,20811.0,2017/1/01
豪州,61107.0,2017/1/01
韓国,625415.0,2017/1/01
香港,185486.0,2017/1/01
その他アジア,17580.0,2017/10/01
その他オセアニア,362.0,2017/10/01
その他ヨーロッパ,10656.0,2017/10/01
その他北アメリカ,1309.0,2017/10/01
その他南アメリカ,5997.0,2017/10/01
アイルランド,1935.0,2017/10/01
アフリカ計,3561.0,2017/10/01
イスラエル,5206.0,2017/10/01
イタリア,12555.0,2017/10/01
インド,12497.0,2017/10/01
インドネシア,27116.0,2017/10/01
オセアニア計,46034.0,2017/10/01
オランダ,7033.0,2017/10/01
オーストリア,2283.0,2017/10/01
カナダ,29398.0,2017/10/01
シンガポール,32090.0,2017/10/01
スイス,5862.0,2017/10/01
スウェーデン,5982.0,2017/10/01
スペイン,12047.0,2017/10/01
タイ,103536.0,2017/10/01
デンマーク,3482.0,2017/10/01
トルコ,1802.0,2017/10/01
ドイツ,22081.0,2017/10/01
ニュージーランド,6251.0,2017/10/01
ノルウェー,1864.0,2017/10/01
フィリピン,42097.0,2017/10/01
フィンランド,2605.0,2017/10/01
フランス,30173.0,2017/10/01
ブラジル,4752.0,2017/10/01
ベトナム,32461.0,2017/10/01
ベルギー,4037.0,2017/10/01
ポルトガル,2423.0,2017/10/01
ポーランド,3040.0,2017/10/01
マカオ,8216.0,2017/10/01
マレーシア,39356.0,2017/10/01
メキシコ,6358.0,2017/10/01
モンゴル,2245.0,2017/10/01
ヨーロッパ計,170600.0,2017/10/01
ロシア,9315.0,2017/10/01
中国,663815.0,2017/10/01
北アメリカ計,162995.0,2017/10/01
南アメリカ計,10749.0,2017/10/01
台湾,421094.0,2017/10/01
無国籍・その他,59.0,2017/10/01
米国,125930.0,2017/10/01
英国,33227.0,2017/10/01
豪州,39421.0,2017/10/01
韓国,620936.0,2017/10/01
香港,171103.0,2017/10/01
その他アジア,15319.0,2017/11/01
その他オセアニア,520.0,2017/11/01
その他ヨーロッパ,7847.0,2017/11/01
その他北アメリカ,951.0,2017/11/01
その他南アメリカ,3748.0,2017/11/01
アイルランド,1513.0,2017/11/01
アフリカ計,3053.0,2017/11/01
イスラエル,2627.0,2017/11/01
イタリア,9308.0,2017/11/01
インド,10870.0,2017/11/01
インドネシア,28549.0,2017/11/01
オセアニア計,44803.0,2017/11/01
オランダ,5220.0,2017/11/01
オーストリア,2021.0,2017/11/01
カナダ,25005.0,2017/11/01
シンガポール,50521.0,2017/11/01
スイス,3213.0,2017/11/01
スウェーデン,3785.0,2017/11/01
スペイン,7059.0,2017/11/01
タイ,94533.0,2017/11/01
デンマーク,1859.0,2017/11/01
トルコ,1585.0,2017/11/01
ドイツ,15911.0,2017/11/01
ニュージーランド,5094.0,2017/11/01
ノルウェー,1447.0,2017/11/01
フィリピン,40597.0,2017/11/01
フィンランド,1998.0,2017/11/01
フランス,19125.0,2017/11/01
ブラジル,3084.0,2017/11/01
ベトナム,24880.0,2017/11/01
ベルギー,2420.0,2017/11/01
ポルトガル,1678.0,2017/11/01
ポーランド,2552.0,2017/11/01
マカオ,7946.0,2017/11/01
マレーシア,52219.0,2017/11/01
メキシコ,5141.0,2017/11/01
モンゴル,2024.0,2017/11/01
ヨーロッパ計,119799.0,2017/11/01
ロシア,7842.0,2017/11/01
中国,567149.0,2017/11/01
北アメリカ計,146007.0,2017/11/01
南アメリカ計,6832.0,2017/11/01
台湾,363178.0,2017/11/01
無国籍・その他,58.0,2017/11/01
米国,114910.0,2017/11/01
英国,25001.0,2017/11/01
豪州,39189.0,2017/11/01
韓国,622604.0,2017/11/01
香港,172926.0,2017/11/01
その他アジア,13659.0,2017/12/01
その他オセアニア,300.0,2017/12/01
その他ヨーロッパ,5390.0,2017/12/01
その他北アメリカ,935.0,2017/12/01
その他南アメリカ,3680.0,2017/12/01
アイルランド,1227.0,2017/12/01
アフリカ計,2519.0,2017/12/01
イスラエル,1112.0,2017/12/01
イタリア,9430.0,2017/12/01
インド,8933.0,2017/12/01
インドネシア,52343.0,2017/12/01
オセアニア計,64370.0,2017/12/01
オランダ,3694.0,2017/12/01
オーストリア,1263.0,2017/12/01
カナダ,27055.0,2017/12/01
シンガポール,86433.0,2017/12/01
スイス,2888.0,2017/12/01
スウェーデン,3514.0,2017/12/01
スペイン,5904.0,2017/12/01
タイ,115835.0,2017/12/01
デンマーク,1304.0,2017/12/01
トルコ,1143.0,2017/12/01
ドイツ,11495.0,2017/12/01
ニュージーランド,6778.0,2017/12/01
ノルウェー,1161.0,2017/12/01
フィリピン,48673.0,2017/12/01
フィンランド,2003.0,2017/12/01
フランス,17035.0,2017/12/01
ブラジル,3445.0,2017/12/01
ベトナム,19678.0,2017/12/01
ベルギー,1591.0,2017/12/01
ポルトガル,2137.0,2017/12/01
ポーランド,1212.0,2017/12/01
マカオ,13388.0,2017/12/01
マレーシア,64712.0,2017/12/01
メキシコ,5331.0,2017/12/01
モンゴル,1947.0,2017/12/01
ヨーロッパ計,99911.0,2017/12/01
ロシア,5709.0,2017/12/01
中国,564264.0,2017/12/01
北アメリカ計,149485.0,2017/12/01
南アメリカ計,7125.0,2017/12/01
台湾,319516.0,2017/12/01
無国籍・その他,68.0,2017/12/01
米国,116164.0,2017/12/01
英国,22954.0,2017/12/01
豪州,57292.0,2017/12/01
韓国,678905.0,2017/12/01
香港,207243.0,2017/12/01
その他アジア,9812.0,2017/2/01
その他オセアニア,289.0,2017/2/01
その他ヨーロッパ,4584.0,2017/2/01
その他北アメリカ,803.0,2017/2/01
その他南アメリカ,3166.0,2017/2/01
アイルランド,1073.0,2017/2/01
アフリカ計,1841.0,2017/2/01
イスラエル,918.0,2017/2/01
イタリア,5449.0,2017/2/01
インド,7485.0,2017/2/01
インドネシア,17911.0,2017/2/01
オセアニア計,45683.0,2017/2/01
オランダ,3241.0,2017/2/01
オーストリア,1225.0,2017/2/01
カナダ,18774.0,2017/2/01
シンガポール,17643.0,2017/2/01
スイス,2309.0,2017/2/01
スウェーデン,3221.0,2017/2/01
スペイン,3520.0,2017/2/01
タイ,75098.0,2017/2/01
デンマーク,1448.0,2017/2/01
トルコ,924.0,2017/2/01
ドイツ,11777.0,2017/2/01
ニュージーランド,4704.0,2017/2/01
ノルウェー,1474.0,2017/2/01
フィリピン,25795.0,2017/2/01
フィンランド,1929.0,2017/2/01
フランス,13807.0,2017/2/01
ブラジル,2038.0,2017/2/01
ベトナム,22000.0,2017/2/01
ベルギー,1773.0,2017/2/01
ポルトガル,1085.0,2017/2/01
ポーランド,1370.0,2017/2/01
マカオ,6162.0,2017/2/01
マレーシア,26667.0,2017/2/01
メキシコ,2932.0,2017/2/01
モンゴル,1633.0,2017/2/01
ヨーロッパ計,82158.0,2017/2/01
ロシア,3829.0,2017/2/01
中国,509090.0,2017/2/01
北アメリカ計,96096.0,2017/2/01
南アメリカ計,5204.0,2017/2/01
台湾,342951.0,2017/2/01
無国籍・その他,60.0,2017/2/01
米国,73587.0,2017/2/01
英国,19044.0,2017/2/01
豪州,40690.0,2017/2/01
韓国,600018.0,2017/2/01
香港,140622.0,2017/2/01
その他アジア,18282.0,2017/3/01
その他オセアニア,290.0,2017/3/01
その他ヨーロッパ,8887.0,2017/3/01
その他北アメリカ,1151.0,2017/3/01
その他南アメリカ,4468.0,2017/3/01
アイルランド,1624.0,2017/3/01
アフリカ計,2987.0,2017/3/01
イスラエル,5422.0,2017/3/01
イタリア,11004.0,2017/3/01
インド,11242.0,2017/3/01
インドネシア,36001.0,2017/3/01
オセアニア計,44861.0,2017/3/01
オランダ,5429.0,2017/3/01
オーストリア,1929.0,2017/3/01
カナダ,29439.0,2017/3/01
シンガポール,33791.0,2017/3/01
スイス,3994.0,2017/3/01
スウェーデン,5059.0,2017/3/01
スペイン,6255.0,2017/3/01
タイ,111502.0,2017/3/01
デンマーク,2445.0,2017/3/01
トルコ,1711.0,2017/3/01
ドイツ,22422.0,2017/3/01
ニュージーランド,4606.0,2017/3/01
ノルウェー,2147.0,2017/3/01
フィリピン,34860.0,2017/3/01
フィンランド,2835.0,2017/3/01
フランス,23656.0,2017/3/01
ブラジル,4312.0,2017/3/01
ベトナム,30594.0,2017/3/01
ベルギー,2752.0,2017/3/01
ポルトガル,1766.0,2017/3/01
ポーランド,2831.0,2017/3/01
